1,user1@company.com,ES,MX
2,user4@domain.com,EN,US
3,user5@company.com,FR,FR
4,user9@site.org,HI,IN
5,user12@service.io,EN,CA
6,user17@website.net,FR,FR
7,user21@company.com,FR,FR
8,user25@company.com,FR,FR
9,user27@school.edu,ES,MX
10,user31@website.net,EN,CA
11,user36@website.net,FR,FR
12,user39@domain.com,FR,FR
13,user41@company.com,ES,MX
14,user45@domain.com,HI,IN
15,user48@site.org,ES,MX
16,user53@school.edu,EN,US
17,user57@school.edu,ES,MX
18,user59@website.net,HI,IN
19,user64@school.edu,EN,US
20,user67@domain.com,HI,IN
21,user68@site.org,EN,US
22,user71@domain.com,ES,MX
23,user74@service.io,EN,US
24,user79@website.net,ES,MX
25,user81@site.org,EN,US
26,user85@service.io,HI,IN
27,user89@service.io,EN,CA
28,user91@company.com,EN,CA
29,user96@site.org,ES,MX
30,user99@website.net,EN,US
